Enter cache policy (LRU, LFU): Number: 17395, Steps: 203
Number: 10597, Steps: 99
Number: 10985, Steps: 161
Number: 23554, Steps: 82
Number: 1593, Steps: 122
Number: 29631, Steps: 59
Number: 14490, Steps: 71
Number: 3059, Steps: 61
Number: 3483, Steps: 87
Number: 12602, Steps: 63
Number: 14730, Steps: 133
Number: 16453, Steps: 40
Number: 8581, Steps: 78
Number: 24610, Steps: 157
Number: 29987, Steps: 64
Number: 7109, Steps: 119
Number: 11866, Steps: 143
Number: 31965, Steps: 85
Number: 29059, Steps: 165
Number: 23089, Steps: 56
Number: 22200, Steps: 69
Number: 24097, Steps: 95
Number: 11994, Steps: 50
Number: 11778, Steps: 99
Number: 10750, Steps: 99
Number: 8548, Steps: 65
Number: 12820, Steps: 63
Number: 12425, Steps: 94
Number: 9227, Steps: 109
Number: 15252, Steps: 32
Number: 8889, Steps: 184
Number: 6205, Steps: 155
Number: 23113, Steps: 131
Number: 521, Steps: 123
Number: 17, Steps: 12
Number: 10580, Steps: 117
Number: 31211, Steps: 178
Number: 16312, Steps: 66
Number: 12683, Steps: 200
Number: 5264, Steps: 54
Number: 31602, Steps: 41
Number: 10921, Steps: 161
Number: 30303, Steps: 85
Number: 14428, Steps: 45
Number: 12150, Steps: 63
Number: 19883, Steps: 273
Number: 30835, Steps: 147
Number: 30743, Steps: 41
Number: 2211, Steps: 94
Number: 14918, Steps: 71
Number: 1660, Steps: 135
Number: 7600, Steps: 31
Number: 18178, Steps: 141
Number: 5873, Steps: 98
Number: 14693, Steps: 164
Number: 31091, Steps: 116
Number: 26745, Steps: 121
Number: 23941, Steps: 95
Number: 2292, Steps: 107
Number: 13346, Steps: 32
Number: 662, Steps: 25
Number: 24050, Steps: 43
Number: 5035, Steps: 134
Number: 1864, Steps: 86
Number: 27016, Steps: 38
Number: 22832, Steps: 30
Number: 7660, Steps: 176
Number: 20426, Steps: 180
Number: 18542, Steps: 92
Number: 18553, Steps: 61
Number: 3169, Steps: 53
Number: 11967, Steps: 143
Number: 3797, Steps: 38
Number: 9398, Steps: 83
Number: 23963, Steps: 95
Number: 11393, Steps: 130
Number: 22395, Steps: 74
Number: 16951, Steps: 110
Number: 26361, Steps: 139
Number: 4612, Steps: 152
Number: 11353, Steps: 42
Number: 5286, Steps: 103
Number: 22732, Steps: 82
Number: 27751, Steps: 139
Number: 19425, Steps: 61
Number: 28478, Steps: 51
Number: 19896, Steps: 74
Number: 28361, Steps: 59
Number: 21381, Steps: 162
Number: 5432, Steps: 67
Number: 26974, Steps: 139
Number: 9822, Steps: 122
Number: 29560, Steps: 209
Number: 11910, Steps: 143
Number: 18999, Steps: 105
Number: 13506, Steps: 76
Number: 4024, Steps: 69
Number: 29892, Steps: 103
Number: 21187, Steps: 131
Number: 1165, Steps: 119
Number: 29260, Steps: 121
Number: 11372, Steps: 174
Number: 3556, Steps: 149
Number: 11303, Steps: 86
Number: 29386, Steps: 165
Number: 15945, Steps: 58
Number: 12932, Steps: 169
Number: 29406, Steps: 103
Number: 14109, Steps: 58
Number: 1326, Steps: 26
Number: 2686, Steps: 97
Number: 11317, Steps: 130
Number: 29061, Steps: 165
Number: 9191, Steps: 60
Number: 16572, Steps: 66
Number: 23935, Steps: 144
Number: 16351, Steps: 146
Number: 30576, Steps: 33
Number: 23197, Steps: 206
Number: 25005, Steps: 113
Number: 4135, Steps: 95
Number: 31077, Steps: 116
Number: 24729, Steps: 157
Number: 32613, Steps: 116
Number: 11835, Steps: 174
Number: 9914, Steps: 135
Number: 31271, Steps: 134
Number: 9556, Steps: 29
Number: 24290, Steps: 64
Number: 16044, Steps: 190
Number: 222, Steps: 70
Number: 16580, Steps: 40
Number: 11276, Steps: 86
Number: 28151, Steps: 108
Number: 20187, Steps: 167
Number: 25201, Steps: 64
Number: 18012, Steps: 40
Number: 14922, Steps: 71
Number: 19556, Steps: 48
Number: 9624, Steps: 60
Number: 8163, Steps: 52
Number: 16888, Steps: 172
Number: 202, Steps: 26
Number: 3410, Steps: 136
Number: 9263, Steps: 140
Number: 9200, Steps: 47
Number: 10900, Steps: 68
Number: 19488, Steps: 136
Number: 12676, Steps: 55
Number: 9199, Steps: 65
Number: 8921, Steps: 140
Number: 10695, Steps: 73
Number: 14185, Steps: 58
Number: 24308, Steps: 157
Number: 4078, Steps: 64
Number: 31582, Steps: 85
Number: 7782, Steps: 39
Number: 9205, Steps: 47
Number: 11074, Steps: 68
Number: 24997, Steps: 157
Number: 23821, Steps: 144
Number: 17616, Steps: 97
Number: 7813, Steps: 39
